Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
OP711966.1,Human papillomavirus type 90,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,L324R553_HPV90,Alphapapillomavirus 14,8033,complete,Togo,,Homo sapiens,,2017-08
HQ650116.1,Rotavirus A RVA/Human-tc/USA/DS-1/1976/G2P[4],GenBank,set:110f0c75bfc99d2e04de5acfc6e7c8aa4ce8e158,"Mlera,L., Jere,K.C., van Dijk,A.A., O'Neill,H.G.","North-West University, Potchefstroom Campus, Biochemistry Division",South Africa,2011-05-30,,Rotavirus A,3302,complete,USA,,Homo sapiens,,1976
GU117628.1,Human papillomavirus 94,GenBank,set:GU117628,"Koehler,A., Schulz,E., Gottschling,M., Bravo,I.G., Stockfleth,E., Nindl,I.","Charite - Universitaetsmedizin Berlin, Clinic for Dermatology, Venerology und Allergology, Haut Tumor Centrum Charite (HTCC)",Germany,2010-12-31,8-14,Alphapapillomavirus 2,7872,complete,Germany,,Homo sapiens,lesion_tumor,
KC409261.1,Norovirus Hu/GII/20171/2009/VNM,GenBank,set:KC409261,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-09-23
OZ258626.1,Betatorquevirus homini38,GenBank,,"Parkbhorn,J.","CENMIG, 272 Rama VI Road, Ratchathewi",Thailand,2025-05-17,,Betatorquevirus homini38,2836,complete,Thailand,,Homo sapiens,,
KF551081.1,Influenza A virus (A/Ontario/002/2012(H1N1)),GenBank,set:6f242b604102acaafb796e1671db1912c948ac80,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-01-16
JN588789.1,Influenza A virus (A/Cambodia/U094/2010(H1N1)),GenBank,set:2873be655fb1689ae4ae18a26df4a5b14148e893,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kampong Thom,,Homo sapiens,,2010-01-04
LC851689.1,Sapovirus GIV.1,GenBank,,"Doan,Y.H., Saha,R., Lo,M., Oka,T., Mamta,C.S.","Center for Emergency Preparedness and Response; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2025-05-13,Hu/GIV.1/IND/2021/NICED-MICRO-51,Sapovirus sapporoense,7455,complete,India:Kolkata,,Homo sapiens,,2021-11-08
FJ755403.1,Human astrovirus 1 Beijing/176/2006/CHN,GenBank,set:FJ755403,"Guo,L., Xu,X., Song,J., Wang,W., Wang,J., Hung,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences, State Key Laboratory of Molecular Virology and Genetic Engineering",China,2009-03-21,,Mamastrovirus 1,6771,complete,China,,Homo sapiens,feces,2006-10
HM241722.1,Influenza A virus (A/Pune/NIV10604/2009(H1N1)),GenBank,set:7be6434c48093f7eecceaf554a6d753d9b639aba,"Mullick,J., Cherian,S.S., Potdar,V.A., Chadha,M.S., Mishra,A.C., Potdar,V., Payyapilly,B., Keng,S., Dakhve,M., Patil,K., Jadhav,S., Cherian,S.","National Institute of Virology, Pune-411001, India, Avian Influenza",India,2010-05-21,10604,Alphainfluenzavirus influenzae,2321,complete,India,,Homo sapiens,,2009-09-10
JN588802.1,Influenza A virus (A/Cambodia/U326/2010(H1N1)),GenBank,set:d1e335eea9ec52101ada2939ab34e288b806b21d,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kampong Cham,,Homo sapiens,,2010-07-15
KJ942688.1,Influenza A virus (A/Indiana/21/2012(H3N2)),GenBank,GCA_038637795.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1756,complete,USA: Indiana,IN,Homo sapiens,,2012
KR816171.1,Human papillomavirus type 183,GenBank,set:KR816171,"Chen,Z., Burk,R.","Albert Einstein College of Medicine, Department of Pediatrics",USA,2018-05-16,ACS058,Gammapapillomavirus 20,7286,complete,,,Homo sapiens,,
ON340918.1,Pegivirus hominis,GenBank,,"Greninger,A., Phung,Q., Sereewit,J.","UW Virology, Laboratory Medicine",USA,2022-06-19,,Pegivirus hominis,9119,complete,USA,,Homo sapiens,,2022-04
MG759368.1,Influenza A virus (A/Beijing/PUMCH03/2017(H3N2)),GenBank,set:a4f20603ad0f30b23c1189be7b9e84b28a1fba65,"Ren,L., Xiao,Y., Wang,J., Gao,Z., Li,T.","Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology, Chinese Academy of Medical Sciences",,2019-12-31,,Alphainfluenzavirus influenzae,1410,complete,China,,Homo sapiens,oronasopharynx,2017-08-07
ON548553.1,Pteropine orthoreovirus,GenBank,,"Tee,K.K., Chan,P.Q., Loh,A.M., Singh,S., Teo,C.H., Iyadorai,T., Chook,J.B., Ng,K.T., Takebe,Y., Chan,K.G., Sam,I.C., Voon,K.","University of Malaya, Department of Medical Microbiology",Malaysia,2023-09-06,,Pteropine orthoreovirus,1602,complete,Malaysia,,Homo sapiens,,2012-08-24
NC_038307.1,Coxsackievirus B3,RefSeq,GCF_002816685.1,"Tracy,S., Chapman,N.M., Tu,Z., Klump,W.M., Bergmann,I., Muller,B.C., Ameis,D., Kandolf,R., Lindberg,A.M., Stalhandske,P.O., Pettersson,U.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Enterovirus B,7399,complete,,,Homo sapiens,,
JX262201.1,Influenza A virus (A/India/GWL01/2011(H1N1)),GenBank,set:7ef610739c015e90bf2cdeb70671c8f1f2351067,"Sharma,S., Joshi,G., Dash,P.K., Thomas,M., Athmaram,T.N., Kumar,J.S., Desai,A., Vasanthapuram,R., Patro,I.K., Rao,P.V., Parida,M., Dash,P., Parida,M.M.","DRDE, Virology",India,2013-03-16,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,,2011-08-24
KX097043.1,Influenza A virus (A/Adana/08/2015(H1N1)),GenBank,set:8676ef0c24d2d318d183a9d96e19bb2297fab714,"Coskun Ari,F.F., Altas,B., Bakkaloglu,Z., Korukluoglu,G., Guldemir,D., Bayrakdar,F., Unaldi,O., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-01-31
JQ431196.1,Influenza A virus (A/Reunion/2433-3-M1E/2009(H1N1)),GenBank,set:6187e7096d3d051b599f53fd7dff7a88608103a8,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-08-21
KR733227.1,Influenza B virus (B/Taiwan/70231/2009),GenBank,set:52c6851f6bea487ceee0f6aaa7d9e4775c7fcdeb,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1557,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2009-02-23
MT501649.1,Anellovirus cyb/2019,GenBank,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07,cyb/2019,Anellovirus cyb/2019,3650,complete,China,,Homo sapiens,,2019-06
JX195063.1,Rotavirus A RVA/Human-wt/ITA/AV21/2010/G9P8,GenBank,set:3d4583535f97829e00e7394fb6ecce0bb3f304c7,"Ianiro,G., Heylen,E., Delogu,R., Zeller,M., Matthijnssens,J., Ruggeri,F.M., Van Ranst,M., Fiore,L.","Istituto Superiore di Sanita, Center for Research and Investigation on Vaccines and Immunobiologicals",Italy,2013-04-14,AV21,Rotavirus A,3302,complete,Italy,,Homo sapiens,feces,2010
FJ537135.1,Norovirus Hu/GII.4/CHDC2094/1974/US,GenBank,set:FJ537135,"Bok,K., Abente,E.J., Realpe-Quintero,M., Mitra,T., Sosnovtsev,S.V., Kapikian,A.Z., Green,K.Y.","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Laboratory of Infectious Diseases, Epidemiology Section, Norovirus Gastroenteritis Unit",USA,2009-10-20,,Norwalk virus,7576,complete,USA,,Homo sapiens,,1974
OQ833558.1,Colorado tick fever virus,GenBank,,"Bechelli,J., Javornik Cregeen,S., Surathu,A.","Baylor College of Medicine, Alkek Center for Metagenomics and Microbiome Research",USA,2023-07-29,69V28,Colorado tick fever coltivirus,3110,complete,USA: Colorado,CO,Homo sapiens,,1969
GQ421203.1,Influenza A virus (A/Ancona/05/2009(H1N1)),GenBank,set:983644ebeef2be9484ae0c8bc9bda4e1ea41e43e,"Bagnarelli,P., Trotta,D., Marinelli,K., Ferreri,M.L.","Universita Politecnica delle Marche, Laboratorio di Virologia, Dip. Scienze Biomediche",Italy,2009-07-29,,Alphainfluenzavirus influenzae,1701,complete,Italy,,Homo sapiens,,2009-07-12
OQ842435.1,Coxsackievirus A9,GenBank,,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-05-16,CVA9/USA/6G2/2010,Enterovirus B,7450,complete,USA,,Homo sapiens,,2010-05
KM885034.1,Influenza A virus (A/Jabalpur/1758/2012(H1N1)),GenBank,set:ce7cec43a7905b0d4288ca08f4f7ad24c849a42d,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2012-08-16
KU695613.1,Influenza A virus (A/India/Kol-T15/2015(H1N1)),GenBank,set:ff7ec893770e896c69d58d95fac645721ee041f7,"Mukherjee,A., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (Niced), Division of Virology, Virology",India,2016-03-05,,Alphainfluenzavirus influenzae,1745,complete,India,,Homo sapiens,,2015-04
JQ911594.1,Norovirus Hu/GI/10360/2010/VNM,GenBank,set:JQ911594,"Madupu,R., Halpin,R., Ransier,A., Fedorova,N., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-04-24,,Norwalk virus,7696,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2010-03-14
OR148962.1,Redondovirus D_HF5_1,GenBank,,"Paietta,E.N., Kraberger,S., Custer,J.M., Vargas,K.L., Epsy,C., Ehmke,E., Yoder,A.D., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-08-27,D_HF5_1,Redondovirus D_HF5_1,3055,complete,"USA: Durham, NC",NC,Homo sapiens,,2021-08-30
NC_013443.1,HMO Astrovirus A,RefSeq,GCF_000884395.1,"Kapoor,A., Li,L., Victoria,J., Oderinde,B., Mason,C., Pandey,P., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2009-10-28,NI-295,HMO Astrovirus A,6534,complete,Nigeria,,Homo sapiens,feces,2007-03-21
KF551079.1,Influenza A virus (A/Ontario/026/2012(H1N1)),GenBank,set:6aaf7d2a4077a1f869fde3586976c3795f98c65f,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-03-28
KJ943412.1,Influenza A virus (A/Santiago/p9d1/2011(H1N1)),GenBank,GCA_038619795.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1753,complete,Chile: Santiago,,Homo sapiens,,2011-08-22
PP756366.1,Enterovirus C109,GenBank,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L.","Centre National de Reference Enterovirus et Parechovirus - CHU Clermont ferrand, Virologie",France,2024-05-12,,Enterovirus C,7354,complete,"France: ARA, Clermont-Ferrand",,Homo sapiens,oronasopharynx,2015-01-06
KF849743.1,Influenza A virus (A/Thailand/SirirajICRC_CBI_9/2009(H1N1)),GenBank,set:b163ab8e224e71cb11d3f49650b75b99a7b8cc51,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2009-06-09
JN588780.1,Influenza A virus (A/Cambodia/T155/2009(H1N1)),GenBank,set:059286861a3613a404ac80974fe74b3c3b2c1777,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2009-06-24
KC409274.1,Norovirus Hu/GII/20198/2009/VNM,GenBank,set:KC409274,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-12
ON881123.1,rhinovirus A28,GenBank,,"Xie,Z. Sr.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,WZ17445,Rhinovirus A,7146,complete,China,,Homo sapiens,oronasopharynx,2019-10-15
NC_027998.2,Human pegivirus 2,RefSeq,GCF_001310135.2,"Berg,M.G., Lee,D., Coller,K., Frankel,M., Aronsohn,A., Cheng,K., Forberg,K., Marcinkus,M., Naccache,S.N., Dawson,G., Brennan,C., Jensen,D.M., Hackett,J. Jr., Chiu,C.Y.","National Center for Biotechnology Information, NIH",USA,2015-10-08,UC0125.US,Pegivirus columbiaense,9867,complete,USA,,Homo sapiens,,2008-08-28
KF270580.1,Influenza A virus (A/India/P131027/2013(H1N1)),GenBank,GCA_038676575.1,"Potdar,V.A., Kadam,A.A., Dakhave,M.R., Chadha,M.S.","National Institute of Virology, Influenza",India,2013-12-30,,Alphainfluenzavirus influenzae,2274,complete,India,,Homo sapiens,,2013-01-27
NC_040306.1,Human feces pecovirus,RefSeq,GCF_003726995.1,"Phan,T.G., da Costa,A.C., Del Valle Mendoza,J., Bucardo-Rivera,F., Nordgren,J., O'Ryan,M., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,2019-02-12,,Human feces pecovirus,2928,complete,Nicaragua,,Homo sapiens,feces,2005
ON881137.1,rhinovirus C5,GenBank,,"Xie,Z.","Beijing Pediatric Research Institute, Laboratory of Infection and Virology",China,2023-03-25,GY18212,Rhinovirus C,7113,complete,China,,Homo sapiens,oronasopharynx,2018-12-27
MK652136.1,Echovirus E24,GenBank,set:MK652136,"Ng,T.F.F., Castro,C.J., Chern,S.-W.W., Reynolds,E., Nix,W.A.","Centers for Disease Control and Prevention, Polio and Picornavirus Laboratory Branch",USA,2019-09-28,,Enterovirus B,7362,complete,Venezuela,,Homo sapiens,feces,2018-06
KX136901.1,Mumps virus genotype L,GenBank,set:KX136901,"Gouma,S., Vermeire,T., Van Gucht,S., Martens,L., Hutse,V., Cremer,J., Rota,P., Leroux-Roels,G., Koopmans,M., van Binnendijk,R., Vandermarliere,E.","National Institute for Public Health and the Environment (RIVM), Centre for Infectious Disease Research, Diagnostics and Screening (IDS)",Netherlands,2016-11-01,,Orthorubulavirus parotitidis,316,complete,Netherlands,,Homo sapiens,,1957
PV189383.1,Human astrovirus 1,GenBank,,"Huang,Z., Wu,B.","Viral Disease Prevention and Control Laboratory, Fujian Provincial Center for Disease Control and Prevention",China,2025-03-18,,Mamastrovirus hominis,6812,complete,China: Fuzhou,,Homo sapiens,feces,2023-05-21
KM885029.1,Influenza A virus (A/Jabalpur/543/2010(H1N1)),GenBank,set:e12fcc95426d9e5370e8ea40373caf69f686d462,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2010-08-09
KJ943500.1,Influenza A virus (A/Santiago/p12d1/2011(H1N1)),GenBank,set:705aec5522f6f6addf4d2893b29a8db7d5f521e6,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1701,complete,Chile: Santiago,,Homo sapiens,,2011-08-20
JF965343.1,Influenza B virus (B/Kol/1109/2007),GenBank,set:7a101d39be1a6bf84fc6ffe75662c1c906ba3b15,"Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.","National Institute of Cholera and Enteric Diseases (NICED), Virology",India,2011-10-10,,Betainfluenzavirus influenzae,1755,complete,India,,Homo sapiens,,2007-08-29
KX060810.1,Echovirus E20,GenBank,set:KX060810,"Zhang,H., Liu,J., Yang,Z., Sun,X., Ma,S.","Institute of Medical Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, Molecular Epidemiology",China,2017-04-17,,Enterovirus B,7398,complete,China,,Homo sapiens,feces,2010-05
OP712010.1,human papillomavirus 73,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,V521R489_HPV73,Alphapapillomavirus 11,7697,complete,Togo,,Homo sapiens,,2017-08
EU382987.1,Influenza A virus (A/Guangzhou/1684/2006(H1N1)),GenBank,set:b6720111dfa33c2cabcbdd00094360fe4030d39d,"Jiang,L.-F., Tian,J., Di,B., Fang,D.-Y., Zhou,H., Zhou,J.-J., Fu,J., He,L.-J., Chen,Y.-Y., Yan,H.-J., Zhou,J.-M., Liang,Y.","Zhongshan Medical College, Sun Yat-sen University, Department of Microbiology",,2008-12-31,,Alphainfluenzavirus influenzae,1775,complete,China,,Homo sapiens,,
MT501650.1,Coronavirus cyb-BetaCoV/2019,GenBank,,"Zhang,T.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2020-07-07,cyb-BetaCoV/2019,Coronavirus cyb-BetaCoV/2019,30499,complete,China,,Homo sapiens,,2019-06
JN588803.1,Influenza A virus (A/Cambodia/U372/2010(H1N1)),GenBank,set:59695d7b61227b25de9c8b81a62b9891956cf78b,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Phnom Penh,,Homo sapiens,,2010-07-14
AB933668.1,Norovirus Hu/GII.4/Osaka4/2010/JP,GenBank,set:AB933668,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Osaka,,Homo sapiens,feces,2010
BK066419.1,Cressvirus homo3817,GenBank,,"Buck,C.B., Welch,N., Belford,A.K., Varsani,A., Pastrana,D.V., Tisza,M.J., Starrett,G.J.","National Cancer Institute, Lab of Cellular Oncology",USA,2024-04-05,Cress3817,Cressvirus homo3817,3676,complete,,,Homo sapiens,urine,
AB933682.1,Norovirus Hu/GII.4/Nagano3/2010/JP,GenBank,set:AB933682,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Nagano,,Homo sapiens,feces,2010
KJ685408.1,Norovirus Hu/GII/BG1C0066/2011/BGD,GenBank,set:KJ685408,"Das,S.R., Halpin,R.A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Ahmed,T., Haque,R., Knobler,S., Miller,M., Wentworth,D.E., Nelson,M.",J. Craig Venter Institute,USA,2014-05-10,,Norwalk virus,7509,complete,Bangladesh: Dhaka,,Homo sapiens,,2011-03-15
JQ431202.1,Influenza A virus (A/Reunion/1698-3-M1E/2009(H1N1)),GenBank,set:7d9619cc037020711f44a7cbd140ce1404ef5fb5,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-09-28
KT345708.1,Heron hepatitis B virus,GenBank,set:KT345708,"Zhang,X., Li,Z., Ren,F., Hui,W., Chen,J., Wang,Y.","Beijing You'an Hospital, Capital Medical University, Beijing Institute of Hepatology",China,2016-01-10,32,Avihepadnavirus ciconiardeae,3215,complete,China,,Homo sapiens,blood,2014-03-28
JQ714145.1,Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1)),GenBank,GCA_038606825.1,"Li,X., Kong,M., Chen,J., Su,X., Ding,J., Zou,M., Guo,L., Li,L.","Tianjin Centers for Disease Control and Prevention, Institute of Pathogenic Biology",China,2012-03-25,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,oronasopharynx,2011-01-08
MW551946.1,European bat 1 lyssavirus,GenBank,,"Regnault,B., Evrard,B., Plu,I., Dacheux,L., Troadec,E., Cozette,P., Chretien,D., Duchesne,M., Jean-Michel,V., Jamet,A., Leruez,M., Perot,P., Bourhy,H., Eloit,M., Seilhean,D.","Institut Pasteur, Virology",France,2021-05-29,01humFRA,Lyssavirus hamburg,11969,complete,France,,Homo sapiens,brain,2019-08-29
